Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
43,Goga Bitadze,C,24,ORL,47,31,18.0,2.4,3.9,.614,0.0,0.2,.182,2.4,3.7,.642,.620,1.0,1.5,.662,2.1,3.3,5.4,1.5,0.6,1.4,0.7,2.0,5.9
44,Onuralp Bitim,SG,24,CHI,2,0,3.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Bismack Biyombo,C,31,TOT,31,27,23.4,2.2,3.8,.563,0.0,0.0,,2.2,3.8,.563,.563,0.7,1.5,.478,1.8,4.4,6.2,1.6,0.3,1.1,1.3,2.7,5.0
45,Bismack Biyombo,C,31,MEM,30,27,23.9,2.2,4.0,.563,0.0,0.0,,2.2,4.0,.563,.563,0.7,1.5,.478,1.9,4.5,6.4,1.7,0.3,1.1,1.3,2.7,5.2
45,Bismack Biyombo,C,31,OKC,1,0,8.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
46,Anthony Black,PG,20,ORL,52,30,18.3,1.8,3.8,.480,0.5,1.3,.371,1.3,2.4,.540,.546,0.8,1.3,.662,0.5,1.6,2.2,1.6,0.5,0.3,0.9,1.9,4.9
47,Leaky Black,SF,24,CHO,22,3,9.9,0.8,1.8,.436,0.3,0.7,.467,0.5,1.1,.417,.526,0.4,0.6,.643,0.4,1.4,1.7,0.8,0.2,0.3,0.2,0.7,2.3
48,Bogdan Bogdanović,SG,31,ATL,54,8,28.9,6.0,14.0,.429,3.1,8.4,.370,2.9,5.6,.516,.540,1.7,1.9,.911,0.6,2.7,3.3,2.8,1.3,0.3,1.2,2.4,16.9
49,Bojan Bogdanović,PF-SF,34,TOT,32,27,31.8,6.8,14.6,.468,3.0,7.1,.421,3.8,7.5,.513,.571,2.7,3.6,.763,0.4,2.8,3.2,2.3,0.8,0.2,2.0,2.1,19.4
49,Bojan Bogdanović,PF,34,DET,28,27,32.9,7.1,15.2,.468,3.1,7.4,.415,4.0,7.8,.518,.569,2.9,3.7,.779,0.5,2.9,3.4,2.5,0.8,0.1,2.3,2.0,20.2
49,Bojan Bogdanović,SF,34,NYK,4,0,24.5,5.0,10.8,.465,2.5,5.3,.476,2.5,5.5,.455,.581,1.5,2.5,.600,0.0,2.3,2.3,0.3,1.0,0.3,0.5,2.3,14.0
50,Bol Bol,PF,24,PHO,19,0,9.7,2.2,3.3,.667,0.3,0.8,.400,1.9,2.5,.750,.714,0.3,0.4,.750,0.9,2.3,3.3,0.5,0.3,0.6,0.5,1.1,5.1
51,Marques Bolden,C,25,MIL,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0
52,Devin Booker,PG,27,PHO,47,47,35.6,9.6,19.3,.497,2.1,5.8,.373,7.5,13.6,.550,.553,6.2,7.1,.874,0.7,3.9,4.6,6.9,0.9,0.4,2.6,3.0,27.6
53,Brandon Boston Jr.,SF,22,LAC,17,0,7.2,1.4,3.5,.400,0.4,1.2,.300,1.1,2.4,.450,.450,0.6,0.7,.917,0.4,0.5,0.9,0.3,0.1,0.1,0.4,0.9,3.8
54,Chris Boucher,PF,31,TOR,47,0,13.7,2.1,4.3,.490,0.6,1.9,.322,1.5,2.4,.623,.561,1.4,1.8,.753,1.2,2.8,4.0,0.4,0.3,0.4,0.5,1.3,6.2
55,James Bouknight,SG,23,CHO,14,0,5.8,1.3,2.9,.439,0.9,2.1,.433,0.4,0.8,.455,.598,0.1,0.1,.500,0.1,0.6,0.6,0.4,0.1,0.1,0.1,0.2,3.6
56,Jamaree Bouyea,PG,24,POR,6,0,9.5,0.8,3.5,.238,0.0,1.3,.000,0.8,2.2,.385,.238,0.0,0.0,,0.3,1.3,1.7,1.3,0.0,0.0,1.3,0.5,1.7
57,Malaki Branham,PG,20,SAS,52,21,20.1,3.3,7.8,.424,1.0,3.1,.321,2.3,4.6,.494,.489,0.6,0.6,.938,0.4,1.6,2.0,2.2,0.4,0.1,1.1,1.2,8.2
58,Christian Braun,SG,22,DEN,57,0,19.1,2.5,5.8,.439,0.6,1.8,.356,1.9,3.9,.478,.495,1.3,1.8,.716,0.9,2.7,3.6,1.4,0.4,0.4,0.7,1.5,7.0
59,Mikal Bridges,SF,27,BRK,56,56,35.2,7.6,16.9,.449,2.6,7.0,.364,5.1,9.9,.510,.525,3.8,4.6,.827,0.8,4.0,4.9,3.7,0.9,0.4,2.2,1.5,21.5
